1   Ольга Беспалова 3
219 Лука Иванов 5

220 Нонна Яковлева 4

221 Карл Зиновьев 5

222 Ювеналий Мартынов 3

223 Исай Трофимов 4

224 Евпраксия Селиверстова 3

225 Надежда Евсеева 3

226 Регина Кудрявцева 3

227 Зиновий Макаров 3

228 Ия Сидорова 4

229 Феврония Куликова 5

230 Клавдия Мельникова 3

231 Валентина Полякова 4

232 Пелагея Фокина 3

233 Харлампий Миронов 5

234 Марина Зиновьева 5

235 Ипат Муравьев 4

236 Мария Ершова 5

237 Лонгин Миронов 3

238 Аникей Артемьев 5

239 Мария Стрелкова 5

240 Рубен Мухин 5

241 Ирина Филатова 3

242 Нонна Антонова 5

243 Зинаида Турова 5

244 Виталий Сысоев 3

245 Наина Баранова 5

246 Капитон Григорьев 5

247 Анжела Владимирова 4

248 Юрий Авдеев 3

249 Мария Фомичева 4

250 Виктор Соколов 3

251 Нина Ситникова 4

252 Евгения Лукина 4

253 Азарий Маслов 3

254 Зинаида Жданова 4

255 Нинель Суворова 3

256 Ярополк Давыдов 3

257 Синклитикия Егорова 4

258 Зиновий Дмитриев 3

259 Антонина Рожкова 3

260 Гаврила Щукин 4

261 Афанасий Трофимов 4

262 Ювеналий Селиверстов 5

263 Фортунат Соловьев 4

264 Иванна Мясникова 5

265 Фаина Орехова 5

266 Вадим Хохлов 3

267 Любовь Александрова 5

268 Антип Агафонов 4

269 Вера Силина 5

270 Таисия Кудряшова 5

271 Анастасия Андреева 5

272 Еремей Мухин 5

273 Анастасия Петрова 4

274 Сила Куликов 4

275 Адам Никифоров 3

276 Наталья Богданова 3

277 Юлиан Комаров 3

278 Алла Авдеева 3

279 Лариса Рыбакова 5

280 Федор Беспалов 3

281 Элеонора Калинина 5

282 Нина Кондратьева 3

283 Моисей Ларионов 5

284 Кира Щукина 4

285 Панфил Колесников 3

286 Анжелика Русакова 5

287 Агата Морозова 3

288 Лидия Кошелева 4

289 Аполлон Осипов 4

290 Кира Ширяева 3

291 Полина Панфилова 4

292 Исай Титов 3

293 Автоном Маслов 4

294 Элеонора Орлова 5

295 Любомир Павлов 3

296 Анна Лаврентьева 3

297 Прасковья Овчинникова 3

298 Евфросиния Лыткина 5

299 Ярополк Копылов 5

300 Майя Пономарева 4

301 Анжелика Кириллова 5

302 Ладимир Брагин 4

303 Твердислав Щербаков 5

304 Анатолий Зайцев 4

305 Зоя Галкина 5

306 Ипполит Суханов 5

307 Фаина Красильникова 3

308 Сила Яковлев 3

309 Егор Емельянов 4

310 Соломон Лобанов 3

311 Юлиан Борисов 4

312 Таисия Артемьева 3

313 Соломон Моисеев 5

314 Акулина Никифорова 4

315 Вероника Афанасьева 3

316 Аггей Михеев 5

317 Нонна Карпова 3

318 Фёкла Савельева 4

319 Фадей Мясников 4

320 Фаина Тихонова 3

321 Надежда Силина 5

322 Марина Галкина 4

323 Амвросий Орлов 5

324 Ксения Агафонова 3

325 Нонна Пахомова 4

326 Вера Стрелкова 5

327 Светлана Фролова 4

328 Эммануил Логинов 4

329 Никон Лапин 5

330 София Калинина 3

331 Майя Соловьева 5

332 Алевтина Михеева 4

333 Юлия Блинова 3

334 Твердислав Комаров 5

335 Станимир Семенов 3

336 Елизавета Одинцова 5

337 Лукия Комарова 5

338 Ульяна Гущина 5

339 Лазарь Петухов 3

340 Филипп Логинов 3

341 Ия Шарова 4

342 Аполлон Куликов 5

343 Святополк Герасимов 5

344 Нина Захарова 4

345 Клавдия Шашкова 5

346 Модест Мельников 5

347 Радислав Казаков 4

348 Ипатий Матвеев 3

349 Изот Ильин 3

350 Регина Давыдова 4

351 Василий Марков 4

352 Трофим Кондратьев 3

353 Раиса Суворова 5

354 Савватий Игнатов 5

355 Надежда Игнатьева 5

356 Полина Герасимова 3

357 Юлиан Баранов 5

358 Савватий Суворов 3

359 Митофан Копылов 3

360 Антонина Герасимова 4

361 Раиса Исакова 3

362 Ратибор Медведев 5

363 Валентина Кононова 4

364 Савватий Давыдов 3

365 Варвара Никонова 5

366 Виктория Симонова 3

367 Мария Соловьева 4

368 Евпраксия Жданова 3

369 Василиса Кузнецова 3

370 Климент Быков 5

371 Лев Молчанов 3

372 Наталья Афанасьева 5

373 Сидор Васильев 3

374 Екатерина Петухова 3

375 Парфен Щукин 3

376 Богдан Хохлов 3

377 Варвара Потапова 3

378 Светлана Хохлова 4

379 Виктория Исаева 3

380 Лукия Цветкова 3

381 Клавдия Гурьева 5

382 Мария Капустина 4

383 Раиса Орлова 4

384 Антип Жданов 3

385 Боян Калинин 3

386 Клавдий Муравьев 4

387 Оксана Горбачева 4

388 Бронислав Сысоев 3

389 Савва Куликов 3

390 Михей Мамонтов 4

391 Анисим Гришин 4

392 Майя Михайлова 3

393 Адам Белоусов 3

394 Агата Савельева 3

395 Виктор Кудряшов 4

396 Феврония Мясникова 3

397 Клавдий Белов 3

398 Виктор Терентьев 4

399 Нонна Щербакова 5

400 Прасковья Осипова 4

401 Ольга Орехова 4

402 Ростислав Логинов 5

403 Людмила Харитонова 3

404 Кира Сысоева 4

405 Павел Исаков 5

406 Агафья Крюкова 5

407 Михей Никитин 4

408 Игорь Соболев 5

409 Прокофий Кабанов 3

410 Марфа Носкова 5

411 Карп Киселев 4

412 Клавдия Титова 4

413 Милан Фомин 5

414 Викторин Гришин 5

415 Владислав Наумов 5

416 Нонна Блинова 4

417 Венедикт Александров 4

418 Ольга Тетерина 3

419 Ладислав Матвеев 3

420 Адриан Комиссаров 5

421 Евгения Одинцова 4

422 Селиван Ковалев 3

423 Кир Зайцев 4

424 Варвара Матвеева 4

425 Касьян Елисеев 5

426 Мария Никонова 3

427 Марфа Горшкова 5

428 Дмитрий Щербаков 5

429 Екатерина Николаева 5

430 Ульян Блохин 3

431 Мефодий Аксенов 4

432 Яков Федосеев 3

433 Александра Гущина 5

434 Синклитикия Лобанова 3

435 Алина Мартынова 4

436 Самсон Крюков 5

437 Иванна Коновалова 3

438 Елизавета Кулакова 3

439 Алла Шилова 5

440 Светозар Александров 5

441 Алевтина Бурова 3

442 Аверкий Никонов 5

443 Харитон Федотов 4

444 Алевтина Колобова 5

445 Лидия Лаврентьева 5

446 Галина Максимова 3

447 Ульяна Голубева 4

448 Лучезар Лебедев 4

449 Стоян Михайлов 5

450 Елизавета Костина 3

451 Селиван Мухин 5

452 Анастасия Князева 5

453 Матвей Фролов 4

454 Данила Крылов 5

455 Вероника Андреева 3

456 Лора Трофимова 5

457 Лариса Суханова 4

458 Кондратий Филиппов 5

459 Филарет Шарапов 3

460 Владимир Бобров 5

461 Ия Логинова 5

462 Александра Колесникова 4

463 Ия Казакова 5

464 Онуфрий Елисеев 4

465 Федор Лапин 4

466 Ювеналий Зыков 3

467 Фома Кулаков 4

468 Лука Владимиров 5

469 Акулина Мамонтова 5

470 Ян Савин 4

471 Ферапонт Хохлов 5

472 Ангелина Полякова 4

473 Виктория Боброва 4

474 Екатерина Абрамова 4

475 Ананий Поляков 3

476 Ангелина Маркова 5

477 Савелий Гурьев 4

478 Венедикт Рыбаков 5

479 Анжелика Гаврилова 4

480 Светлана Куликова 3

481 София Давыдова 3

482 Клавдия Дмитриева 3

483 Харитон Блинов 5

484 Нинель Харитонова 5

485 Святополк Гуляев 3

486 Ия Матвеева 5

487 Эмилия Дьячкова 4

488 Ангелина Анисимова 5

489 Эммануил Ермаков 4

490 Евгения Дьячкова 3

491 Полина Шилова 3

492 Ангелина Евсеева 3

493 Светлана Симонова 3

494 Адам Воробьев 5

495 Игорь Молчанов 5

496 Зинаида Рогова 5

497 Геннадий Ершов 4

498 Раиса Комарова 5

499 Рубен Князев 5

500 Иван Евдокимов 5
